report_number,title,incident_date,place   ,governorate,city/town,addess/description,description,categories,location,reporter_state,gender_harassed,age_harassed,age_reporter,age_harasser,intervention,incident_place_type,edu_harassed,edu_reporter,report_date_time
1202,تحرش بجامعة القاهرة,05/10/2013 14:00,"University of Cairo, Oula, Giza, Egypt",Giza,Giza,University of Cairo,"انا من اكتوبر وفى جامعة القاهره اول مره احس انى اخدت حقى فعلا كنت فى يوم نازله الجامعه وطالعه على الشارع الرئيسى عاشان اركب كان فى شاب فى الشارع جاى من الناحيه التانيه (الساعه كانت 2 الظهر) وابتدا يقرب ويعمل حركات قزره جدا بأيده ويقرب انا مديت بس هو قرب جدا واول ما قرب منى جبت طوبه وحدفتها عليه ووقفت لحظه مش عارفه اعمل ايه ؟!! اجرى والا اصوت والا اعمل ايه ... لكن فى لحظه لقيتنى بجرى ناحيته وهو اما لقانى بجرى ناحيته طلع يجرى طلعت اجرى وراه واقول حرامى ... لآن طبعا دى جملة الاستغاثه الوحيده فى مصر .... ولآنى لو قلت الحقونى او اى حاجه اول حاجه الناس هتعملها هتيجى تقولى هو عمل ايه .... وعلى ما احكى والناس تستوعب هتكون خربت مالطا

طلعت اجرى لحد ما تعبت وانا بقول حرامى المهم هو اخد باله انى وقفت وراح مكمل مشى عادى خصوصا ان الشارع كان فاضى .... الناس اتلمت بعد ما وصل لآخر الشارع وقالولى فى ايه وهو فين قلتلهم اخر الشارع ولابس كزا .... اخدوا عربية جارنا وراحو وراه جابوه واول ما شفته قلتله انا هعملك محضر .... قالولى قولى الحق هو سرق منك حاجه ؟؟ قلتلهم لا هو عمل كزا كزا ومعرفتش استنجد بحدغير اما اقول كده وانا لازم اعمله محضر

طلعت اجيب البطاقه ونزلت لقيتهم ضاربينه وعمال يعيط ويقولى انا اسف حقك عليا .... والناس يقولولى معلش سامحيه قلتلهم ده مش عيل صغير عاشان اقول ماكنش اصده

المضحك فى الموضوع ان وانا بضربه لقيت الناس بتقولى (لا الضرب ع الوش حرام )...هههههه لا بجد ؟ انتو بتهرجوا صح ؟

انا دايما بقول لاى واحده متسبيش حقك حتى لو انتى مش قويه حقك هيخليكى تكونى قويه ... مش انتى اللى لازم تخافى هو اللى لازم يخاف لآنه بيسرق حاجه مش من حقه لأن هو اللى غلط

ناس كتير قالتلى مفيش بنت تمد ايدها على راجل بس انا بقول لو كل الناس اخدت موقف الاشكال الضاله دى هتختفى مع الوقت السكوت هو اللى خلاها تكتر .. واذا كان هو بيدى نفسه الحق يمد ايده على جسمى فا من حقى امد ايدى على وشه وعلى افاه","Comments,Facial expressions,Sexual invites,Stalking or following","30,027516,31,210874",,Man,Above 46,,,Yes,,Did not go to school,,05/11/2013 15:12
1201,public masturbation,05/10/2013 10:52,right behind St. John baptist church,,,right behind St. John baptist church,"The guy got out of his car in broad daylight and pulled down his pants. It was friday prayer so streets were quiet and no one else around. 

Black sedan,","Indecent exposure,Sexual invites,Stalking or following","29,96053,31,266489",,Man,Above 46,,,Yes,,Did not go to school,,05/10/2013 11:00
1200,متحرش الميني باص,05/10/2012 0:51,كوبري الدقي، الجيزة,Giza,Giza,كوبري الدقي,"من حوالي سنة, ركبت انا وصحبتي ميني باص من الكلية للهرم عشان نروح .. ابتدينا نحس بحاجة غريبة .. كان في شخص قاعد ورانا وحاطط جاكيت على ايده وكان في فتحة في الكرسي بين المسند والمقعد .. معرفناش نعمل حاجة غير اننا حطينا الشنط ورا ضهرنا .. راح قعد ورا بنت تانية كانت نايمة راحت صاحبتي صاحتها عشان تاخد  بالها .. المتحرش الجبان اول ما شاف صاحبتي بتكلم البنت اتخض ووقف كأنه خلاص نازل .. بعد فترة وكالمعتاد بركب الميني باص وانا مروحة لقيته قاعد ورا بنت برده ومخبي ايده بالجاكيت .. طبعا نزلت جري
امبارح ركبت ميني باص ولقيته بس ماكنتش متأكدة انه هو .. قعدت في كرسي وحطيت الشنطة على الكرسي اللي جنبي عشان محدش يقعد .. طلعت بنت راح قام عشان تقعد في الكرسي اللي جنبه
وابتدت القذارة .. ابتدى يمد ايده على البنت وهو 
مغطيها بالجاكيت 
معرفتش اعمل ايه .. استنيت البنت تقوم .. خفت عليها, انا عارفة الاحساس المقرف ده .. اكيد مصدومة ومش عارفة تعمل ايه
كان لازم اتصرف والا هكون زيه بس كنت خايفة
كان في ""راجل"" قاعد ورايا روحت قولتله ""الراجل ده مش كويس و بيعمل حاجة مش كويسة في البنت ممكن تساعدها؟""
بص على المتحرش راح قاللي ""هي اللي قعدت جنبه"" !!!!!!!!
قولتله هي اكيد متعرفش .. قاللي طب تناديلها طيب وللا ايه؟
انا كنت بترعش وحزنت على ""الراجل"" اللي مش راجل ده كمان
الحمدلله ان كانت النتيجة كويسة ان المتحرش خد باله اننا بنتكلم عليه وعشان هو جبان راح قام ونزل
قعدت جنب البنت وكنت عايزة اتكلم معاها بس سكت .. نزلت هي وانا بكيت على اللي احنا فيه .. الرجالة مبقوش رجالة, متحرشين او غير متحرشين",Touching,"30,037631,31,207072",,Man,,,,Yes,,Did not go to school,,05/10/2013 1:26
1199,two young boys followed/harassed me,05/08/2013 13:52,Maadi Rd 87,Cairo,Cairo,Maadi Rd 87,"Walking on rd 87, two boys about 11- or 12-years-old said, ""Welcome to Egypt.""  Then they followed me for several minutes and told me various sexually explicit things they would like to do to me.  Luckily before reaching my home, the older of the two took the other one by the shoulders and told him to stop.  He even apologized to me.  I did not accept the apology, and I told them they should be ashamed.","Sexual invites,Stalking or following","29,954265,31,268678",,Man,Above 46,,,Yes,,Did not go to school,,05/08/2013 21:02
1198,تحرش بمطروح,05/06/2013 19:30,"Mersa Matruh, Qism Moursy Matrouh, Matrouh, Egypt",Matruh,Matruh,Mersa Matruh,"النهاردة ماشيين ف الشارع ولد عمرة لا يتعدى 15 سنه ماشى وعمال يخبط صاحبه وعاوزة يخبطنا واحنا ماشيين ولما وقفت وببصله وبقوله ايه ياض انت مالك بيقولى ما تيجى تاخدينى قلمين قلتله اخدك قلمين وتلاته ان امكن يا جزمه يا زباله ... مع العلم ان عندى طلبه ف الكلاس تقريبا أدة ف السن وفى اكبر منه كمان ...... مفيش خطوتين ولقيت ولد بيزنق على اختى وفعلا اتحسرت بين عربيتين راكنيين وبيقولها عليا الطلاق مامى نحله اللى جابت عسل زيك وبيقرب منها .. جيت انا من وراه وشديته من قفاه بعدته عنها وقلتله تصدق يا شيخ عليا الطلاق امك انت اللى ما عرفت تربيك يا صايع ,,,,, ادى اللى احنا عايشين فيه ,,, ياجماعه حد يفهمنا ايه الغلط اللى عملناه ف حياتنا عشان يجرالنا كل دة ... واسفه ان كنت طولت عليكم بس من الغيظ

امبارح الساعه 7 ونص المغرب، على الكورنيش ف مرسى مطروح قصاد فندق نيجرسكو","Comments,Stalking or following","31,344962,27,259289",,Man,Above 46,,,Yes,,Did not go to school,,05/08/2013 9:42
1197,تحرش ببورفؤاد,05/07/2013 10:40,"Al Kantara Shark - Al Arish Road, Egypt",Ismailia,Ismailia,Al Kantara Shark - Al Arish Road,لو سمحت انا عاوزه ابلغ عن موقف حصل انهارده من عربيه فيها مجموعه شباب كتيير و قولت لاهلي بس محدش راضي يساعدني اني اوصلهم عشان اوقف اللي بيحصل دا عند حده حتى لو كان اللي عملوه مضرنيش بس لو سكت اكيد بعد كدا هيضرني و هيضر بنات غيري كتير انا من بورفؤاد وفي كليه تربيه نوعيه و قدرت اقرا رقم العربيه و كان فيها 5 شباب ولونها كحلي واللي حصل ده كان الساعه 10:40 في بورفؤاد ادام جامع قباء كنت بعدي الشارع و جت عربيه دي من ورايا و راموني بورقه طالع منها دبووس و لزقنها بسلوتب واجت في الطرحه و شكتني و كان ممكن تيجي في منطقه الخطر في رقبتي بس كدا,Stalking or following,"31,240158,32,33593",,Man,Above 46,,,Yes,,Did not go to school,,05/08/2013 9:37
1196,تحرش بلبس المدرسه !,05/07/2013 23:18,"Abu an Nawatir, Qism Sidi Gabir, Alexandria, Egypt",Alexandria,Alexandria,"Abu an Nawatir, Qism Sidi Gabir","شارع كفر عبده . امام حديقه اللمبي

انا عندي 13 سنه. بروح مدرستي و بروًح لوحدي بحكم انها قريبه و كده . انا من اسكندريه .. رشدي و مدرستي في كفر عبده . مش بعيده 
و يوم و انا مروحه.. و كنت بلبس المدرسه اللس مش مبينني اساسا !
و واحد بعربيته ""بسبسلي و غمزلي "" انا شكيت في نفسي و كملت مشي في طريقي.. و بعدبها هو لف تاني و جه وقف قدامي !
انا حسيت ان كل الشجاعه اللي فيا اختفت . معرفش ليه و ازاي !
و ان كل التجارب اللي قريتها و الوعود اللي خدنها علي نفسي في اني مش هسكت علي اي تحرش طارت من دماغي.. المهم انا رجعت لاقرب كشك للامن "" حراسه فيلا مش شرطه يعني "" و قولتلوا لو سمحت اللي في العربيه ده بيعاكسني .. بتاع العربيه اول ما شافني رحتلهم مشي .. الامن قالي اهو مشي .. متخافيش و لو اي حد ضايقك تاني في اي وقت نادي علينا و متقلقيش احنا جنبك و كده.. انا اطمنت من كلامه و كملت مشي في طريقي !
لقيت نفس الراجل لف و جه تاني !
انا اتسمرت في مكاني حوالي دقيقه او اقل .. جمعت شجاعتي و افتكرت كلام الراجل, و حفظت رقم العربيه  .. علي سبيل الاحطياط .. بس انا كنت بعدت عن كشك    الامن .. فمشيت نحيه سواق العربيه .. و هو كان فاتح الازاز طبعا !مسكت قزازه الميه في ايدي و بصيتله و قولتله انت سافل و حيوان .. هو طبعا مشي بسرعه .. انا حسيت اني ارتحت شويه .. بس وعدت نفسي ان لو اي حاجه زي دي تاني مش هسيبه يمشي غير ما افرج الناس عليه !
و مش هكتفي بالشتيمه بس !
"" لوحه العربه كاني س ي ل بس مش قادره افتكر الارقام و هي Hyundai Elantra  و لونها Off White و اللي سايقها تخين شويه كده و ابيض .. و انا شفتها بعد كده كذا مره ما بين رشدي و كفر عبده و عمارات الظباط في مصطفي كامل ""","Catcalls,Facial expressions,Stalking or following","31,224747,29,954989",,Man,,,,Yes,,Did not go to school,,05/07/2013 23:58
1194,محطة انور السادات,04/11/2013 12:37,"Qasr an Nile, Cairo Governorate, Egypt",Cairo,Cairo,"Qasr an Nile, Cairo Governorate, Egypt",انا حصل لى انهارده فى محطة انور السادات فى العربية الميكس و انا بركبها مع العلم انى كنت مع والدى بس معملتش حاجة لانى مكنتش عارفة مين اللى عمل كدة لأن الدينا كانت زحمة و حصل  كدة وانا كنت بركب ف ضهري كان للباب و قفل على طول واللى عمل كدة مركبش طبعا,Touching,"30,04443,31,235676",,Man,,,,Yes,,Did not go to school,,05/04/2013 21:02
1193,Phone call harassement,05/03/2013 13:05,,,,can't tell because it's phone call,XX2011436..... keeps harassing me,Phone calls,"30,051934,31,23353",,Man,Above 46,,,Yes,,Did not go to school,,05/03/2013 16:09
1192,في محطة المترو,04/30/2013 23:54,التحرير,Cairo,Cairo,التحرير,كنت في المترو وأول ما نزلنا في المحطة لقيت بنت ماشية بتمد في خطوتها وضربت الولد اللي قدامها بالبوكس في ضهره .. أنا فكرت للحظة وبعدين وقفت جمبها .. يمكن هي افتكرتني بتفرج بس انا كنت واقفة معاها علشان هي لوحدها وكنت مستعدة أساعدها لو هي قررت تعمل أي حاجة .. تضربه ممكن .. تشتمه.. أو حتى تعمله محضر في القسم .. بعد ما ضربته عمل نفسه البريء وقالها مكنش قصدي والدنيا زحمة .. بس دي دايما حجة المتحرش الجبان ..وبعدين هي مشيت وانا مشيت... واحدة ست كبيرة قالتلها كلمة .. بس مسمعتش ايه هيا بس أظن كانت كلمة مش ولابد فرحت قايلالها بصوت عالي علشان الست تسمع .. برافو عليكي .. بصتلي وبصيتلها وكل واحدة مشيت في طريقها .. تحياتي ليكي يا فتاة المترو,Touching,"30,04443,31,236105",,Man,Above 46,,,Yes,,Did not go to school,,05/01/2013 0:01
1191,تحرش بميكروباص,04/29/2013 12:00,"Ramses, Cairo Governorate, Egypt",Cairo,Cairo,Ramses,في الميكروباص من رمسيس لحد الدراسه، الساعه 12 باليل، بنت بتمد ايدها عليه ف اماكن حساسه وبعدها بتقرب مؤخرتها عليا وانا اللى ببعد لحد ما نزلت من الميكروباص ودخلت سنترال ف شباب عشان نزلت ورايا,Touching,"30,070244,31,27165",,Man,Above 46,,,Yes,,Did not go to school,,04/29/2013 18:06
1190,تحرش بالأوتوبيسات,04/29/2013 8:00,"Al Sayeda Aesha, Al Abageyah, Qism El-Khalifa, Cairo Governorate, Egypt",Cairo,Cairo,"Al Sayeda Aesha, Al Abageyah, Qism El-Khalifa","ف طريق السيده عائشه الى الجيزه في الأتوبيس

  8 صباحا كدا

كان في تحرش جسدى دا كان من راجل ف الاتوبيس والبنات الله اعلم خايفين او . مفيش او هما خايفين بس انا اخدت بالى منه وسعتها ضربته وكان معايا ناس اخده بالهم",Touching,"30,028885,31,255926",,Man,Above 46,,,Yes,,Did not go to school,,04/29/2013 18:02
1189,"calling her a whore , yelling at her and saying that they wanted to sleep with her",04/19/2013 12:30,Maadi on Dimishk St/Rd.9,Cairo,Cairo,Maadi on Dimishk St/Rd.9,"I am writing on behalf of my friend Hoda, who was harassed last weekend (Friday, the 19th at 12.30, during prayer) - she was walking by herself in Maadi on Dimishk St/Rd.9 and a group of approximately 15 boys, age 13-14, began calling her a whore , yelling at her and saying that they wanted to sleep with her. They said she should be ""fucked"" and using other catcalling names. 

They then proceeded to throw a plant at her and making sexual gestures with their fingers. She began yelling at them and they ran away. 

Please let me know once you upload this to the site. Thank you for your help","Catcalls,Comments,Facial expressions,Ogling,Sexual invites","29,96436,31,25546",,Man,Above 46,,,Yes,,Did not go to school,,04/26/2013 18:47
1188,معاكسة من عساكر أمن مركزي,04/25/2013 21:00,"Cairo Police HQ, Port Saeed, El-Darb El-Ahmar, Cairo Governorate, Egypt",Cairo,Cairo,"Cairo Police HQ, Port Saeed, El-Darb El-Ahmar","إمبارح الخميس 25 إبريل 2013 كنت راجع من الشغل ومعدي امام مدرية أمن القاهرة .. كان فيه مجموعة حوالى 4 عساكرأمن مركزي واقفين خدمة أمام المديرية وكانت اعمارهم حوالى 20-22 سنة وكانت فيه بنت معدية وبتتكلم فى التليفون .. فضلوا يعاكسوا فيها ويقولولها ""أيوه يا ابيض يا جملى إنت "" البنت متكلمتش ولا ردت عليهم خالص وسابتهم ومشيت مع إنها يبدو من شكلها أنها أكبر منهم فى السن حوالى 28 سنة . الكلام ده كان حوالى الساعة 9:00 بالليل  للأسف محدش فى الشارع أخد باله من الموقف لأنه تم فى سكون","Catcalls,Comments,Ogling","30,044432,31,253531",,Man,,,,Yes,,Did not go to school,,04/26/2013 16:46
1187,معاكسة تليفونية,04/26/2013 18:30,"Abd El-Aal Fadel, Al Kenisah, Al Omraneyah, Giza, Egypt",Giza,Giza,"Abd El-Aal Fadel, Al Kenisah, Al Omraneyah",الرقم ده (011439.....) بيتصل بيه فى أى وقت ساعات بالليل وساعات الصبح بدري وساعات بالنهار مع إنى شاب مش بنت مثلا.. ولما أرد عليه يفتح الخط معايا وميتكلمش .. النهارده الجمعة 26-4-2013 اتصل بيه الساعة 6:30 مساءًا، برضه رديت عليه متكلمش وفضل على الخط أكثر من دقيقة بدون رد او أى كلام مع إن الخط مفتوح.. مع العلم إنى شاب وعندى 25 سنة برجاء محاسبته ورفع رقمه من الخدمة,Phone calls,"29,987284,31,180422",,Man,Above 46,,,Yes,,Did not go to school,,04/26/2013 16:36
1186,ربة منزل تتهم طبيب عظام باغتصابها بعد تخديرها بعيادته بالمنوفية,04/24/2013 12:46,"Banha, Qism Banha, Banha, Qalyubia, Egypt",Qalyubia,Banha,Qism Banha,"تقدمت ربة منزل مقيمة بإحدى قرى مركز بنها محافظة القليوبية، ببلاغ يتهم طبيب عظام بالمنوفية بتخديرها واغتصابها داخل عيادته بعد وهمها بإجراء عملية جراحية لها، وتم تحرير محضر بالواقعة وأخطرت النيابة لمباشرة التحقيقات.

وكان اللواء أحمد عبد الرحمن، مدير أمن المنوفية، تلقى إخطارا من مأمور مركز قويسنا يفيد بتقديم سعدية ، 48 سنة، ربة منزل، ببلاغ تتهم فيه ""ع. ا"" طبيب عظام، بالتعدي عليها جنسيا واغتصابها داخل عيادته الخاصة بعد تخديرها.

وأكدت المجني عليها أنها كانت تتردد على العيادة للعلاج من آلام في الرقبة والظهر منذ شهور، وأخبرها الطبيب في إحدى الاستشارات المسائية بأنه لابد من إجراء جراحة بسيطة بغضروف الرقبة والظهر وقام بتخديرها وبعدها دخلت في غيبوبة وأفاقت لتجد الطبيب اعتدى عليها جنسياً، وتم تحرير محضر بالواقعة حمل رقم 2185 إداري دائرة المركز، وتولت النيابة العامة التحقيقات في البلاغ وأحالت المجني عليها إلى الطبيب الشرعي للكشف عليها لبيان صحة البلاغ وإذا كان الطبيب اعتدى عليها بالفعل من عدمه، كما تم تكليف أجهزة البحث الجنائي بالتحرى حول الواقعة.",Sexual assault,"30,465808,31,184831",,Man,Above 46,,,Yes,,Did not go to school,,04/25/2013 22:37
1185,أحكام متفاوتة بالسجن ضد 11 لإدانتهم باغتصاب سيدة من كفر الشيخ عام 2006,04/23/2006 23:49,"Kafr El-Shaikh Tanta, Egypt",,,"Kafr El-Shaikh Tanta, Egypt","قضت محكمة الجنايات بكفر الشيخ، الدائرة الرابعة برئاسة المستشار السيد سرحان، الثلاثاء، بأحكام متفاوتة بالسجن على 11 متهمًا في قضية اغتصاب سيدة من حي سخا بمدينة كفر الشيخ عام 2006، بعد أن قاما بأخذها عنوة من مسكنها تحت تهديد السلاح الناري، واغتصبوها بالتناوب بين الزراعات بمنطقة بعيدة عن الكتلة السكنية.

كانت المحكمة قضت على المتهمين في تلك القضية بإعدامهم جميعًا، وصدر الحكم عام 2010، إلا أن محامي المتهمين نقض الحكم، وعاودت تلك الدائرة إعادة المحاكمة من جديد، وتعددت الجلسات إلى أن قضت في جلستها الأخيرة بالحكم على 3 متهمين بالسجن المؤبد، وعلى 5 متهمين بالسجن 15 سنة، والسجن 7 سنوات أشغال شاقة لشخص، وآخر لمدة 5 سنوات.
وشهدت المحكمة تشديدات أمنية وحصارًا أمنيًا كبيرًا من جميع جوانبها من الخارج، خوفًا من تعرض أهالي المتهمين لأحد، إلا أنه بعد النطق بالحكم هتف أهالي المتهمين مرددين «يحيا العدل»، كما تعانقوا فرحين بنجاة ذويهم من الإعدام، بعد أن تم نقض الحكم السابق وقبوله.",Sexual assault,"31,042696,30,952032",,Man,Above 46,,,Yes,,Did not go to school,,04/25/2013 21:38
1184,تحرش في مكالمة تلفونية,04/25/2013 12:36,New Cairo city,Cairo,Cairo,New Cairo city,"واحد بيتصل بية كتيير يفضل يقول ردي علية انا بفتح علية و اعمل التلفون mute 
كل المرات اللي بيتصل فيه بكون مع صحابي البنات 
و مرة خلت صحابتي تقلد صوت واحد ست كبيرة علشان يبطل يتصل 
فعلا بطل يتصل 
بس اتصل تاني يوم التلاتاء 23/4 الساعة 11 
فتحت الخط و قال جملة منتهي القرف و  قلة الادب و انا عملة mute وسبت الموبيل 
فضل يقفل و يتصل تاني و انا افتح علية و اعمل mute 
و بعدنا بعت مسج مهنتي القرف و قلة الادب 
و اتصل تاني و فتخت عليه و عملت mute 
روحت لاختي وراتها المسج 
انا عندي علي الموبيل برنامج اسمه Truecaller 
ده يظهر اسم المتصل اسمه مكنش بيظهر 
عملتلوا بلوك من علية 
فضل يتصل كتير و البرنامج بيقفل علية بعد اول رنه 
اتصل حوالي 20 مره و البرنامج بيقفل علية 
انا بعت صورة المسج وفيها رقمه","Comments,Phone calls","30,019229,31,412694",,Man,Above 46,,,Yes,,Did not go to school,,04/25/2013 13:23
1182,سيدة - امام مسجد رابعة,04/20/2013 20:20,"Nasr City, Cairo Governorate, Egypt",Cairo,Cairo,Nasr City,"حادثة تحرش كان شاهد عليها أختي و جوزها أمام مسجد رابعة مدينة نصر  من يومين 20 ابريل 2013: موتسيكل سريع بيجري من   ,قدام الناس راكب عليه اتنين , المتحرش قاعد وراء السائق  , رجل اربعيني يتحرش بسيدة في الأربعين او الخمسين من عمرها ترتدي عباءة واسعة و حجاب عن طريق الأمساك بثديها بينما  تقف في  الشارع في انتظار مواصلة امام الجميع  , يضحك و هو يبتعد سريعا   ,  ضحية التحرش تراجعت من الصدمة و نقلت نظرها سريعا تتابعه في صمت و هو يبتعد",Touching,"30,067089,31,325369",,Woman,Above 46,,,No,,University/more than university,,04/23/2013 3:49
1181,مساكن الزلزال,04/20/2013 13:57,"Masaken Isbeko Al Zelzal, Al Abageyah, Qism El-Khalifa, Cairo Governorate, Egypt",Cairo,Cairo,"Masaken Isbeko Al Zelzal, Al Abageyah, Qism El-Khalifa",البلاغ التانى دة بقى كل يوم بيخصل . المقطم اخر شارع 9 مساكن الزلزال موقف ميكروباص مدينة نصر لازم السواقين يا كلمة يا حركة يا واحد يزق زميله,"Comments,Facial expressions,Ogling,Touching","30,010989,31,332423",,Man,Above 46,,,Yes,,Did not go to school,,04/20/2013 21:02
1180,تحرش لفظى و جسدى,04/19/2013 13:52,"Alexandria, Egypt",Alexandria,Alexandria,,دلوقتى احنا مبقناش عارفين نمشى و لو شارع واحد من غير خوف . النهارده اول ما نزلت البيت تم التحرش بيا لفظيا و قبل كده  حصلت محاولة تحرش جسدى. ولا اقدر ارد عليه ولا اقدرادافع عن نفسى. اهلى بقوا يوصلونى كل مكان. بس لحد امتى ؟ احبس نفسى ؟ مع المفروض ان المنحرش هو اللى يتحبس ؟ ليه مفيش قانون يوقفهم عند حددهم؟؟ ممكن حل؟,"Comments,Ogling","31,148843,30,047007",,Man,,,,Yes,,Did not go to school,,04/19/2013 17:16
1179,«: طفل يتعرض للاعتداء الجنسى داخل دار أيتام تابعة لـ«رسالة» لمدة 6 أشهر,04/18/2013 8:49,"Al Mokatam, Al Abageyah, Qism El-Khalifa, Cairo Governorate, Egypt",Cairo,Cairo,"Al Mokatam, Al Abageyah, Qism El-Khalifa","تجرد مدرس بإحدى مدارس الأيتام التابعة لجمعية «رسالة» من آدميته، وتناوب الاعتداء جنسياً على طفل يتيم لا يتجاوز عمره 7 سنوات، لفترة تزيد على 6 أشهر دون وازع من ضمير، فيما تقدمت الجمعية المصرية لمساعدة الأحداث ببلاغ للنيابة ضد رئيس مجلس إدارة رسالة، ومدير الدار، ومدرس الطفل بمدرسة الدار بالمقطم بتهمة هتك عرض الطفل «هـ. أ».

وكشفت التقارير التى أعلنتها الجمعية المصرية لمساعدة الأحداث أن السيدة «إ. س» كافلة الطفل «هـ. أ»، التى تبّنته من دار الأيتام لتقوم برعايته اجتماعياً، اشتبهت خلال إحدى زياراتها أنه مصاب بمرض يجعله يعانى كثيراً أثناء قضائه حاجته، فضلاً عن اكتشافها تليفاً فى فتحة الشرج، مما جعلها تتوجه إلى مستشفى الدمرداش لتوقيع الكشف الطبى عليه.

«الوطن» حصلت على نسخة من تقرير مستشفى الدمرداش الذى جاء بتاريخ 14/3/2013، وأفاد أنه بعد الفحص تبين أن «الطفل (هـ. أ) يعانى من سلس بالبراز وعدم القدرة على التحكم وأوصى بعرضه على طبيب شرعى متخصص لتحديد مدى تعرضه للتحرش الجنسى من عدمه، حيث إنه أحد الأسباب المحتملة لحدوث سلس بالبراز للأطفال»، مما اضطر كافلة الطفل إلى التوجه إلى مركز استشارات الطب الشرعى التابع لكلية الطب جامعة عين شمس لتوقيع الكشف الطبى على الطفل -وفقاً للجمعية المصرية لمساعدة الأحداث- وتم تشكيل لجنة ثلاثية بعضوية «خديجة عبدالفتاح مصطفى أستاذ الطب الشرعى ومدير مركز استشارات الطب الشرعى، ومنى القطب موسى أستاذ ورئيس قسم الطب الشرعى بطب عين شمس، وياسر فؤاد العقيد أستاذ الطب الشرعى والسموم بطب عين شمس»، وكشف التقرير النهائى عن وجود علامات تشير إلى تكرار الإتيان فى الدبر منذ فترة تزيد ولا تقل عن 6 أشهر، وكذلك وجود علامات تشير إلى حداثة الفعل ذاته، طبقاً للتقرير.

ورأت اللجنة الثلاثية فى ختام تقريرها أن «الطفل تعرض منذ فترة زمنية تزيد على 6 أشهر للاعتداء الجنسى بالإتيان فى الدبر بصورة متكررة والذى مازال يمارس عليه منذ أقل من أسبوع حتى تاريخ هذا التقرير»، الذى تم تحريره فى 8 أبريل 2013 من عميد الكلية.

وقال محمود سيد البدوى المحامى ورئيس جمعية رعاية الأحداث لـ«الوطن» إن ما جاء بالتقرير الطبى يحمل بين طياته جريمة هتك عرض للطفل المذكور، وإنه ما زال يتعرض لوقائع هتك العرض منذ فترة طويلة، وحتى الآن دون توقف أو ملاحظة من إدارة المدرسة التى يدرس بها الطفل أو الدار المودع بها.

وأضاف البلاغ أن «الطفل المذكور سبق أن صرح للسيدة التى تكفله بأن من قام بالاعتداء عليه هو مدرس بالمدرسة الملحق بها الطفل والموجودة بمنطقة المقطم دائرة قسم الخليفة، وهو ذات الأمر الذى أكده الطفل أمام الدكتور هشام حتاتة أستاذ الطب النفسى والدكتور المعالج للطفل والمسئول عن علاج الطفل نفسياً منذ أكثر من شهر تقريباً من اكتشاف الواقعة».

وذكر البلاغ أن إدارة جمعية «رسالة» لم تبادر باتخاذ اللازم قانوناً نحو الكشف عن مرتكب تلك الجريمة، بل إن الجمعية أخذت تمارس ضغوطاً وتهديدات على السيدة التى تكفل الطفل حتى لا تحاول فضح الممارسات الشاذة التى وقعت بحق الطفل، على حد البلاغ المقدم للنيابة.

وطالب البلاغ بالتحقيق مع كافة العاملين بدار الأيتام لبيان مرتكب تلك الجريمة وإحالته إلى المحاكمة، بالإضافة إلى استدعاء كل من رئيس مجلس إدارة الجمعية، ومدير الدار، والسيدة «إ. س» كافلة الطفل، ومدرس الطفل بمدرسة الجمعية بالمقطم، وسرعة نقل الطفل إلى إحدى دور الرعاية الاجتماعية التابعة لإدارة الدفاع الاجتماعى بوزارة الشئون الاجتماعية.

وكشف البدوى عدم موافقة النيابة على إصدار قرار أمر ضبط وإحضار بحق دار الأيتام، مما اضطره لتقديم بلاغين للنائب العام والمحامى العام، مضيفاً لـ«الوطن» أن الجمعية حالياً تحتجز الطفل داخل الدار وتمنع عنه أية زيارات كما تم منع كافلة الطفل من زيارته.

فى سياق متصل قررت وزارة التأمينات والشئون الاجتماعية تشكيل لجنة عاجلة للكشف على الطفل ومراقبة أعمال الدار والجمعية، وذلك بعد تقديم تلك التقارير الطبية لها.

وفى المقابل قال عاصم الخولى المستشار القانونى لجمعية «رسالة» إن تلك التقارير المعروضة من جمعية رعاية الأحداث هدفها التشهير باسم «رسالة»، مؤكداً أن الجمعية قامت بتوقيع الكشف الطبى على الطفل بمصلحة الطب الشرعى التابعة لوزارة العدل وأثبتت أن الطفل سليم ولا يوجد به أى شبهة للاعتداء الجنسى عليه بأى شكل.

وأضاف الخولى لـ«الوطن» أنه عقب تقرير مصلحة الطب الشرعى تم تحويل الطفل مرة أخرى إلى لجنة ثلاثية أكدت أيضاً عدم وجود أى علامة تؤكد الاعتداء جنسياً على الطفل.

واتهم الخولى السيدة «إ. س» بالتشهير بجمعية رسالة، معتزماً رفع دعوى قضائية عليها وعلى كل من اشترك فى التشهير باسم الجمعية، مشككاً فى التقرير الطبى الذى أكد الاعتداء الجنسى على الطفل والذى تم بمركز الطب الشرعى بجامعة عين شمس، قائلاً: «كيف يمكن أن نقبل بتقرير طبى من مركز خاص والسيدة الكافلة للطفل تعمل به؟».

وحول عدم نشر الجمعية لتقارير مصلحة الطب الشرعى التى تؤكد أن الطفل سليم، قال الخولى إن تلك التقارير حديثة وإنه تم تسلمها أمس وسيتم نشرها.",Sexual assault,"30,010504,31,340737",,Man,Above 46,,,Yes,,Did not go to school,,04/18/2013 22:54
